1610679591900,1610679591937,419,322
1610679591993,1610679592032,421,321
1610679592086,1610679592127,423,323
1610679592179,1610679592222,424,320
1610679592272,1610679592317,422,320
1610679592365,1610679592412,419,323
1610679592458,1610679592507,422,324
1610679592551,1610679592602,426,324
1610679592644,1610679592696,421,321
1610679592741,1610679592791,424,320
1610679592836,1610679592886,422,322
1610679592931,1610679592981,420,320
1610679593026,1610679593076,420,320
1610679593121,1610679593171,426,322
1610679593216,1610679593266,421,325
1610679593311,1610679593361,423,323
1610679593406,1610679593456,421,324
1610679593501,1610679593551,424,322
1610679593596,1610679593646,420,323
1610679593691,1610679593741,422,321
1610679593786,1610679593836,422,321
1610679593881,1610679593929,421,322
1610679593977,1610679594024,422,323
1610679594090,1610679594119,419,320
1610679594203,1610679594214,419,322
1610679594316,1610679594309,421,322
1610679594429,1610679594404,425,325
1610679594542,1610679594499,421,322
1610679594655,1610679594594,427,319
1610679594768,1610679594689,421,323
1610679594881,1610679594784,421,324
1610679594994,1610679594879,422,321
1610679595107,1610679594974,420,323
1610679595220,1610679595069,421,320
1610679595333,1610679595164,422,324
1610679595450,1610679595259,422,324
1610679595527,1610679595354,420,323
1610679595604,1610679595449,424,323
1610679595681,1610679595544,422,322
1610679595758,1610679595639,420,323
1610679595835,1610679595734,420,320
1610679595912,1610679595829,422,321
1610679595989,1610679595924,423,327
1610679596066,1610679596019,421,322
1610679596143,1610679596114,421,321
1610679596220,1610679596209,420,323
1610679596297,1610679596304,422,320
1610679596374,1610679596403,418,321
1610679596446,1610679596498,422,320
1610679596557,1610679596593,421,320
1610679596668,1610679596688,422,321
1610679596779,1610679596783,420,325
1610679596890,1610679596878,419,322
1610679597001,1610679596973,423,320
1610679597112,1610679597068,422,321
1610679597223,1610679597163,422,320
1610679597334,1610679597258,424,318
1610679597445,1610679597353,423,320
1610679597556,1610679597448,421,312
1610679597667,1610679597543,421,281
1610679597778,1610679597638,420,278
1610679597893,1610679597733,419,279
1610679597984,1610679597828,420,356
1610679598075,1610679597923,420,512
1610679598166,1610679598018,418,586
1610679598257,1610679598113,418,530
1610679598348,1610679598208,413,441
1610679598439,1610679598303,412,251
1610679598530,1610679598398,402,278
1610679598621,1610679598493,371,296
1610679598712,1610679598588,401,308
1610679598803,1610679598683,381,316
1610679598894,1610679598778,737,318
1610679598985,1610679598871,741,320
1610679599080,1610679598965,786,319
1610679599171,1610679599059,539,320
1610679599262,1610679599153,363,320
1610679599353,1610679599247,387,324
1610679599444,1610679599341,401,324
1610679599535,1610679599435,410,321
1610679599626,1610679599529,416,321
1610679599717,1610679599623,418,321
1610679599808,1610679599717,419,321
1610679599899,1610679599811,417,322
1610679599990,1610679599905,417,322
1610679600081,1610679599999,420,323
1610679600172,1610679600087,426,320
1610679600261,1610679600181,419,321
1610679600345,1610679600275,418,322
1610679600429,1610679600369,419,325
1610679600513,1610679600463,419,323
1610679600597,1610679600557,420,323
1610679600681,1610679600651,421,321
1610679600765,1610679600745,423,321
1610679600849,1610679600839,417,320
1610679600933,1610679600933,421,320
1610679601017,1610679601027,421,319
1610679601101,1610679601121,420,323
1610679601185,1610679601215,419,322
1610679601269,1610679601303,419,320
1610679601355,1610679601398,418,322
1610679601449,1610679601493,421,322
1610679601543,1610679601588,426,322
1610679601637,1610679601683,417,320
1610679601731,1610679601778,419,320
1610679601825,1610679601873,424,320
1610679601919,1610679601968,423,322
1610679602013,1610679602063,420,320
1610679602107,1610679602158,423,321
1610679602201,1610679602253,420,323
1610679602295,1610679602348,421,327
1610679602389,1610679602443,421,320
1610679602483,1610679602542,423,323
1610679602575,1610679602637,421,324
1610679602684,1610679602732,424,322
1610679602793,1610679602827,421,320
1610679602902,1610679602922,422,320
1610679603011,1610679603017,420,322
1610679603120,1610679603112,421,320
1610679603229,1610679603207,421,322
1610679603338,1610679603302,417,322
1610679603447,1610679603397,419,322
1610679603556,1610679603492,421,318
1610679603665,1610679603587,420,321
1610679603774,1610679603682,424,319
1610679603883,1610679603773,421,321
1610679603987,1610679603867,420,329
1610679604080,1610679603961,417,320
1610679604173,1610679604055,422,321
1610679604266,1610679604149,423,325
1610679604359,1610679604243,418,322
1610679604452,1610679604337,423,320
1610679604545,1610679604431,423,320
1610679604638,1610679604525,419,323
1610679604731,1610679604619,420,321
1610679604824,1610679604713,418,322
1610679604917,1610679604807,420,322
1610679605010,1610679604901,422,324
1610679605103,1610679604993,422,322
1610679605197,1610679605087,428,322
1610679605295,1610679605181,420,323
1610679605393,1610679605275,421,323
1610679605491,1610679605369,421,326
1610679605589,1610679605463,425,321
1610679605687,1610679605557,418,319
1610679605785,1610679605651,420,324
1610679605883,1610679605745,418,323
1610679605981,1610679605839,420,322
1610679606079,1610679605933,419,322
1610679606177,1610679606027,419,322
1610679606275,1610679606121,418,322
1610679606373,1610679606210,424,321
1610679606472,1610679606304,418,320
1610679606567,1610679606398,418,325
1610679606662,1610679606492,422,320
1610679606757,1610679606586,421,322
1610679606852,1610679606680,421,323
1610679606947,1610679606774,420,321
1610679607042,1610679606868,420,323
1610679607137,1610679606962,419,321
1610679607232,1610679607056,422,321
1610679607327,1610679607150,420,324
1610679607422,1610679607244,419,320
1610679607517,1610679607338,421,321
1610679607612,1610679607429,420,322
1610679607710,1610679607523,420,324
1610679607786,1610679607617,424,322
NaN,1610679607711,421,NaN
