8046	1616113424328	601
8047	1616113424423	503
8048	1616113424517	609
8049	1616113424611	613
8050	1616113424705	518
8051	1616113424799	525
8052	1616113424893	611
8053	1616113424987	547
8054	1616113425081	507
8055	1616113425175	604
8056	1616113425269	565
8057	1616113425363	497
8058	1616113425457	583
8059	1616113425551	592
8060	1616113425642	607
8061	1616113425737	561
8062	1616113425832	608
8063	1616113425927	516
8064	1616113426022	534
8065	1616113426117	612
8066	1616113426212	540
8067	1616113426307	511
8068	1616113426402	605
8069	1616113426497	559
8070	1616113426592	502
8071	1616113426687	589
8072	1616113426782	575
8073	1616113426871	499
8074	1616113426964	566
8075	1616113427057	609
8076	1616113427150	511
8077	1616113427243	536
8078	1616113427336	612
8079	1616113427429	533
8080	1616113427522	513
8081	1616113427615	606
8082	1616113427708	558
8083	1616113427801	499
8084	1616113427894	537
8085	1616113427987	581
8086	1616113428086	502
8087	1616113428180	567
8088	1616113428274	602
8089	1616113428368	510
8090	1616113428462	544
8091	1616113428556	612
8092	1616113428650	528
8093	1616113428744	520
8094	1616113428838	606
8095	1616113428932	554
8096	1616113429026	509
8097	1616113429120	598
8098	1616113429214	585
8099	1616113429308	497
8100	1616113429402	573
8101	1616113429496	600
8102	1616113429590	509
8103	1616113429684	553
8104	1616113429778	613
8105	1616113429872	526
8106	1616113429966	532
8107	1616113430060	614
8108	1616113430154	507
8109	1616113430248	508
8110	1616113430342	602
8111	1616113430436	575
8112	1616113430526	504
8113	1616113430620	585
8114	1616113430714	601
8115	1616113430808	506
8116	1616113430902	557
8117	1616113430996	608
8118	1616113431090	522
8119	1616113431184	532
8120	1616113431278	510
8121	1616113431372	545
8122	1616113431466	518
8123	1616113431560	612
8124	1616113431654	571
8125	1616113431744	507
8126	1616113431838	595
8127	1616113431932	612
8128	1616113432026	521
8129	1616113432120	594
8130	1616113432214	656
8131	1616113432308	579
8132	1616113432402	628
8133	1616113432496	313
8134	1616113432590	82
8135	1616113432684	462
8136	1616113432778	984
8137	1616113432872	445
8138	1616113432969	540
8139	1616113433064	405
8140	1616113433159	279
8141	1616113433254	233
8142	1616113433349	361
8143	1616113433444	579
8144	1616113433539	573
8145	1616113433634	541
8146	1616113433729	615
8147	1616113433824	529
8148	1616113433919	519
8149	1616113434014	608
8150	1616113434109	557
8151	1616113434209	501
8152	1616113434302	594
8153	1616113434395	583
8154	1616113434488	497
8155	1616113434581	571
8156	1616113434674	606
8157	1616113434767	505
8158	1616113434860	547
8159	1616113434953	612
8160	1616113435046	527
8161	1616113435139	523
8162	1616113435232	610
8163	1616113435325	545
8164	1616113435424	505
8165	1616113435518	601
8166	1616113435612	575
8167	1616113435706	501
8168	1616113435800	611
8169	1616113435894	597
8170	1616113435988	504
8171	1616113436082	552
8172	1616113436176	614
8173	1616113436270	521
8174	1616113436364	526
8175	1616113436458	615
8176	1616113436552	543
8177	1616113436642	509
8178	1616113436736	600
8179	1616113436830	571
8180	1616113436924	595
8181	1616113437018	583
8182	1616113437112	594
8183	1616113437206	503
8184	1616113437300	556
8185	1616113437394	608
8186	1616113437488	517
8187	1616113437582	533
8188	1616113437676	610
8189	1616113437770	539
8190	1616113437861	513
8191	1616113437955	606
8192	1616113438049	551
8193	1616113438143	505
8194	1616113438237	593
8195	1616113438331	592
8196	1616113438425	498
8197	1616113438519	568
8198	1616113438613	609
8199	1616113438707	518
8200	1616113438801	544
8201	1616113438895	615
8202	1616113438989	539
8203	1616113439079	523
8204	1616113439173	523
8205	1616113439267	567
8206	1616113439361	514
8207	1616113439455	604
8208	1616113439549	598
8209	1616113439643	517
8210	1616113439737	594
8211	1616113439831	635
8212	1616113439925	556
8213	1616113440019	618
8214	1616113440113	709
8215	1616113440207	644
8216	1616113440297	831
8217	1616113440391	1015
8218	1616113440485	774
8219	1616113440579	408
8220	1616113440673	468
8221	1616113440767	370
8222	1616113440861	435
8223	1616113440955	555
8224	1616113441049	467
8225	1616113441143	329
8226	1616113441237	386
8227	1616113441331	469
8228	1616113441425	490
8229	1616113441516	591
8230	1616113441610	593
8231	1616113441704	548
8232	1616113441798	518
8233	1616113441892	611
8234	1616113441986	581
8235	1616113442080	507
8236	1616113442174	586
8237	1616113442268	600
8238	1616113442362	505
8239	1616113442456	556
8240	1616113442550	529
8241	1616113442644	519
8242	1616113442737	530
8243	1616113442831	613
8244	1616113442925	540
8245	1616113443019	512
8246	1616113443113	605
8247	1616113443207	570
8248	1616113443301	503
8249	1616113443395	585
8250	1616113443489	595
8251	1616113443583	502
8252	1616113443677	570
8253	1616113443771	612
8254	1616113443865	513
8255	1616113443955	533
8256	1616113444050	612
8257	1616113444145	533
8258	1616113444240	509
8259	1616113444335	606
8260	1616113444430	566
8261	1616113444525	501
8262	1616113444620	593
8263	1616113444715	588
8264	1616113444810	600
8265	1616113444905	565
8266	1616113445000	604
8267	1616113445095	514
8268	1616113445185	536
8269	1616113445279	613
8270	1616113445373	535
8271	1616113445467	516
8272	1616113445561	608
8273	1616113445655	555
8274	1616113445749	503
8275	1616113445843	594
8276	1616113445937	613
8277	1616113446031	501
8278	1616113446125	569
8279	1616113446219	603
8280	1616113446313	510
8281	1616113446410	542
8282	1616113446504	609
8283	1616113446598	528
